,coord_ra,coord_dec,ObjectId,visit,band,psfDiffFlux,psfDiffFluxErr,psfFlux,psfFluxErr,expMidptMJD,pixelFlags_bad,pixelFlags_saturated,pixelFlags_saturatedCenter,pixelFlags_suspect,pixelFlags_suspectCenter,nGoodSources
109,59.46141767003128,-48.61886936973327,592914531496244385,2024112500231,i,217745.0,1799.53,2283610.0,1688.1,60640.19658425935,False,False,False,False,False,155
110,59.46141767003128,-48.61886936973327,592914531496244385,2024111800103,i,178250.0,1697.82,2284490.0,1623.0,60633.10765399874,False,False,False,False,False,155
111,59.46141767003128,-48.61886936973327,592914531496244385,2024111800109,z,3607.52,2033.9,2331820.0,1963.24,60633.112274531166,False,False,False,False,False,155
112,59.46141767003128,-48.61886936973327,592914531496244385,2024112600147,r,-1483970.0,552.37,242805.0,364.315,60641.09620069439,False,True,True,True,True,155
113,59.46141767003128,-48.61886936973327,592914531496244385,2024111800106,z,-22843.3,1989.61,2303170.0,1937.82,60633.11021060754,False,False,False,False,False,155
114,59.46141767003128,-48.61886936973327,592914531496244385,2024112600155,g,-10266.1,1383.93,1406770.0,1354.62,60641.10164094916,True,False,False,False,False,155
115,59.46141767003128,-48.61886936973327,592914531496244385,2024112600153,g,-5530.27,1407.1,1411590.0,1390.28,60641.10047771987,False,False,False,False,False,155
116,59.46141767003128,-48.61886936973327,592914531496244385,2024112600154,g,-3030.6,1463.92,1393760.0,1440.27,60641.10104219902,False,False,False,False,False,155
117,59.46141767003128,-48.61886936973327,592914531496244385,2024111800090,i,192529.0,1694.02,2284070.0,1603.1,60633.094924490826,False,False,False,False,False,155
118,59.46141767003128,-48.61886936973327,592914531496244385,2024111800084,z,-8747.2,2036.76,2335570.0,1976.71,60633.09059598372,False,False,False,False,False,155
119,59.46141767003128,-48.61886936973327,592914531496244385,2024121000486,r,211277.0,2630.75,2082070.0,2643.51,60655.28053241907,False,False,False,False,False,155
120,59.46141767003128,-48.61886936973327,592914531496244385,2024111800085,z,2134.6,2110.16,2351110.0,2052.33,60633.09117693298,False,False,False,False,False,155
121,59.46141767003128,-48.61886936973327,592914531496244385,2024111800102,r,179391.0,1435.22,2050070.0,1404.26,60633.10276407987,False,False,False,False,False,155
122,59.46141767003128,-48.61886936973327,592914531496244385,2024111800096,r,184162.0,1423.12,2039970.0,1389.68,60633.0990881077,False,False,False,False,False,155
123,59.46141767003128,-48.61886936973327,592914531496244385,2024111800097,r,197776.0,1451.26,2049580.0,1418.1,60633.09971796286,False,False,False,False,False,155
124,59.46141767003128,-48.61886936973327,592914531496244385,2024111800083,z,10681.7,2027.44,2344190.0,1968.7,60633.09000991898,False,False,False,False,False,155
125,59.46141767003128,-48.61886936973327,592914531496244385,2024121000462,g,-3391.58,1201.56,1405410.0,1173.94,60655.26978963541,False,False,False,False,False,155
126,59.46141767003128,-48.61886936973327,592914531496244385,2024120200077,u,1048.4,1367.17,445966.0,1315.16,60647.1181857349,False,False,False,False,False,155
127,59.46141767003128,-48.61886936973327,592914531496244385,2024111800098,r,-1762910.0,176.899,107.526,144.459,60633.100372835586,True,False,False,False,False,155
128,59.46141767003128,-48.61886936973327,592914531496244385,2024111800092,i,189656.0,1695.89,2279890.0,1591.51,60633.09611905087,False,False,False,False,False,155
129,59.46141767003128,-48.61886936973327,592914531496244385,2024111800104,z,-12715.8,2016.39,2329540.0,1960.13,60633.10902665506,False,False,False,False,False,155
130,59.46141767003128,-48.61886936973327,592914531496244385,2024111800087,z,8222.58,2004.23,2324880.0,1948.21,60633.09237680547,False,False,False,False,False,155
131,59.46141767003128,-48.61886936973327,592914531496244385,2024112600179,r,-1443990.0,585.305,267624.0,383.21,60641.11794094908,False,True,True,True,True,155
132,59.46141767003128,-48.61886936973327,592914531496244385,2024112600180,r,-1321400.0,664.021,414167.0,481.514,60641.11900228016,False,True,True,True,True,155
133,59.46141767003128,-48.61886936973327,592914531496244385,2024112600156,g,3540.25,1539.51,1416700.0,1508.19,60641.10220710063,False,False,False,False,False,155
134,59.46141767003128,-48.61886936973327,592914531496244385,2024112600162,i,204488.0,1846.64,2276430.0,1715.65,60641.10663715847,False,False,False,False,False,155
135,59.46141767003128,-48.61886936973327,592914531496244385,2024112600170,g,-5549.85,1312.92,1425750.0,1274.35,60641.112009878474,False,False,False,False,False,155
136,59.46141767003128,-48.61886936973327,592914531496244385,2024112600183,r,-1430660.0,624.353,302077.0,410.859,60641.121511388934,False,True,True,True,True,155
137,59.46141767003128,-48.61886936973327,592914531496244385,2024120200067,r,194159.0,1521.38,2051650.0,1482.17,60647.109032922475,False,False,False,False,False,155
138,59.46141767003128,-48.61886936973327,592914531496244385,2024112600182,r,-1359220.0,649.754,363663.0,455.11,60641.120655659615,False,True,True,True,True,155
139,59.46141767003128,-48.61886936973327,592914531496244385,2024121000465,g,-5423.18,1466.4,1391300.0,1459.34,60655.27095459483,False,False,False,False,False,155
140,59.46141767003128,-48.61886936973327,592914531496244385,2024111800093,r,195214.0,1447.23,2007570.0,1422.12,60633.097306984855,False,False,False,False,False,155
141,59.46141767003128,-48.61886936973327,592914531496244385,2024111900351,y,-8773.5,3842.07,2309540.0,3621.58,60634.31778543981,False,False,False,False,False,155
142,59.46141767003128,-48.61886936973327,592914531496244385,2024111800107,z,-6785.86,1972.34,2311870.0,1922.73,60633.11080836815,False,False,False,False,False,155
143,59.46141767003128,-48.61886936973327,592914531496244385,2024111900339,r,153194.0,1488.87,2029960.0,1480.57,60634.309250613485,True,False,False,False,False,155
